security_code,issuer_name,security_id,security_name,status,group,face_value,isin_number,industry,sector_name,group_name,sub_group_name
519307,vikas wsp ltd.,vikaswsp,vikas wsp ltd.,Active,Z,1,ine706a01022,fast moving consumer goods,fast moving consumer goods,agricultural food & other products,other agricultural products
519319,jatalia global ventures limited,jatalia,jatalia global ventures ltd,Active,Z,10,ine847m01011,information technology,information technology,it - services,it enabled services
519331,vsf projects limited,vsfproj,vsf projects ltd.,Active,X,10,ine923k01014,construction,industrials,construction,civil construction
519353,bansisons tea industries ltd.,banstea,bansisons tea industries ltd.,Active,ZP,10,ine856e01019,fast moving consumer goods,fast moving consumer goods,agricultural food & other products,tea & coffee
519359,poona dal and oil industries ltd.,poonadal,poona dal & oil industries ltd.,Active,X,10,ine809e01018,fast moving consumer goods,fast moving consumer goods,agricultural food & other products,edible oil
519367,transglobe foods ltd.,transfd,transglobe foods ltd.,Active,X,10,ine213p01027,fast moving consumer goods,fast moving consumer goods,beverages,other beverages
519383,anik industries limited,anikinds,anik industries ltd.,Active,B,10,ine087b01017,services,services,commercial services & supplies,trading & distributors
519397,sharat industries ltd.,shindl,sharat industries ltd.,Active,XT,10,ine220z01013,fast moving consumer goods,fast moving consumer goods,food products,animal feed
519413,datiware maritime infra limited,datiware,datiware maritime infra ltd,Active,P,10,ine673u01014,services,services,transport services,shipping
519415,kmg milk food limited,kmgmilk,kmg milk food ltd.,Active,P,10,ine873n01015,fast moving consumer goods,fast moving consumer goods,food products,packaged foods
519421,kse ltd.,kse,kse ltd.,Active,XT,10,ine953e01014,fast moving consumer goods,fast moving consumer goods,food products,packaged foods
519439,pioneer agro extracts ltd.,pionagr,pioneer agro extracts ltd.,Active,X,10,ine062e01014,fast moving consumer goods,fast moving consumer goods,agricultural food & other products,edible oil
519455,narbada gems and jewellery limited,narbada,narbada gems and jewellery ltd.,Active,X,10,ine540c01021,consumer durables,consumer discretionary,consumer durables,gems jewellery and watches
519457,virat crane industries ltd,viratcra,virat crane industries ltd.,Active,X,10,ine295c01014,fast moving consumer goods,fast moving consumer goods,food products,dairy products
519471,ambar protein industries limited,ambarpil,ambar protein industries ltd,Active,XT,10,ine072v01017,fast moving consumer goods,fast moving consumer goods,agricultural food & other products,edible oil
519475,chordia food products ltd,chordia,chordia food products ltd.,Active,X,10,ine975c01011,fast moving consumer goods,fast moving consumer goods,food products,packaged foods
519477,cian agro industries & infrastructure limited,cianagro,cian agro industries & infrastructure ltd,Active,XT,10,ine052v01019,fast moving consumer goods,fast moving consumer goods,agricultural food & other products,edible oil
519483,tai industries ltd.,taiind,tai industries ltd.,Active,X,10,ine358d01018,services,services,commercial services & supplies,trading & distributors
519494,n.k.industries ltd.,nkind,n.k.industries ltd.,Active,T,10,ine542c01019,fast moving consumer goods,fast moving consumer goods,agricultural food & other products,edible oil
519500,bkv industries ltd.,bkv,bkv industries ltd.,Active,XT,1,ine356c01022,fast moving consumer goods,fast moving consumer goods,food products,packaged foods
519506,ncc bluewater products ltd.,nccblue,ncc blue water products ltd.,Active,P,10,ine630n01019,fast moving consumer goods,fast moving consumer goods,food products,packaged foods
519532,asian tea & exports ltd.,asiantne,asian tea & exports ltd.,Active,X,10,ine822b01017,services,services,commercial services & supplies,trading & distributors
519552,heritage foods limited,heritgfood,heritage foods limited,Active,A,5,ine978a01027,fast moving consumer goods,fast moving consumer goods,food products,dairy products
519566,simran farms ltd.,simran,simran farms ltd.,Active,X,10,ine354d01017,fast moving consumer goods,fast moving consumer goods,food products,animal feed
519588,dfm foods ltd.,dfm,dfm foods ltd.,Active,B,2,ine456c01020,fast moving consumer goods,fast moving consumer goods,food products,packaged foods
519600,ccl products (india) ltd.,ccl,ccl products (india) ltd.,Active,A,2,ine421d01022,fast moving consumer goods,fast moving consumer goods,agricultural food & other products,tea & coffee
519602,kellton tech solutions ltd.,kelltontec,kellton tech solutions ltd.,Active,B,5,ine164b01022,information technology,information technology,it - software,computers - software & consulting
519604,suryo foods & industries ltd.,surfi,suryo foods & industries ltd.,Active,XT,10,ine565e01016,fast moving consumer goods,fast moving consumer goods,food products,packaged foods
519606,integrated proteins ltd.,integfd,integrated proteins ltd.,Active,XT,10,ine177m01013,fast moving consumer goods,fast moving consumer goods,agricultural food & other products,edible oil
519612,mahaan foods ltd.,mahaanf,mahaan foods ltd.,Active,X,10,ine734d01010,fast moving consumer goods,fast moving consumer goods,food products,packaged foods
520008,rico auto industries ltd.,ricoauto,rico auto industries ltd.,Active,B,1,ine209b01025,automobile and auto components,consumer discretionary,auto components,auto components & equipments
520021,omax autos ltd.,omaxauto,omax autos ltd.,Active,B,10,ine090b01011,automobile and auto components,consumer discretionary,auto components,auto components & equipments
520043,munjal showa ltd.,munjalshow,munjal showa ltd.,Active,B,2,ine577a01027,automobile and auto components,consumer discretionary,auto components,auto components & equipments
520051,jamna auto industries ltd.,jamnaauto,jamna auto industries ltd.,Active,A,1,ine039c01032,automobile and auto components,consumer discretionary,auto components,auto components & equipments
520056,sundaram clayton ltd.,sunclayltd,sundaram-clayton ltd.,Active,A,5,ine105a01035,automobile and auto components,consumer discretionary,auto components,auto components & equipments
520057,jtekt india limited,jtektindia,jtekt india ltd,Active,A,1,ine643a01035,automobile and auto components,consumer discretionary,auto components,auto components & equipments
520059,munjal auto industries ltd.,munjalau,munjal auto industries ltd.,Active,B,2,ine672b01032,automobile and auto components,consumer discretionary,auto components,auto components & equipments
520066,jay bharat maruti ltd.,jaybarmaru,jay bharat maruti ltd.,Active,B,5,ine571b01028,automobile and auto components,consumer discretionary,auto components,auto components & equipments
520073,racl geartech limited,raclgear,racl geartech ltd,Active,X,10,ine704b01017,automobile and auto components,consumer discretionary,auto components,auto components & equipments
520075,samkrg pistons and rings ltd.,samkrg,samkrg pistons & rings ltd.,Active,X,10,ine706b01012,automobile and auto components,consumer discretionary,auto components,auto components & equipments
520081,east coast steel ltd,ecststl,east coast steel ltd.,Active,P,10,ine315f01013,capital goods,industrials,industrial products,iron & steel products
520086,sical logistics limited,sical,sical logistics ltd.,Active,T,10,ine075b01012,services,services,transport services,logistics solution provider
520111,ratnamani metals & tubes ltd,ratnamani,ratnamani metals & tubes ltd.,Active,A,2,ine703b01027,capital goods,industrials,industrial products,iron & steel products
520113,vesuvius india ltd.,vesuvius,vesuvius india ltd.,Active,A,10,ine386a01015,capital goods,industrials,industrial products,refractories
520119,automotive stampings and assemblies ltd.,asal,automotive stampings & assemblies ltd.,Active,B,10,ine900c01027,automobile and auto components,consumer discretionary,auto components,auto components & equipments
520121,arcee indusrtries ltd.,arceein,arcee industries ltd.,Active,X,10,ine276d01012,capital goods,industrials,industrial products,plastic products - industrial
520123,abc india ltd.,abcindq,abc india ltd.,Active,X,10,ine125d01011,services,services,transport services,road transport
520127,balurghat technologies ltd.,balte,balurghat technologies ltd.,Active,X,10,ine654b01014,services,services,transport services,road transport
520131,coastal roadways ltd.,coaro,coastal roadways ltd.,Active,P,10,ine229e01019,services,services,transport services,road transport
520141,sibar auto parts ltd.,sibaraut,sibar auto parts ltd.,Active,X,10,ine441c01014,automobile and auto components,consumer discretionary,auto components,auto components & equipments
520151,shreyas shipping and logistics limited,shreyas,shreyas shipping & logistics ltd.,Active,B,10,ine757b01015,services,services,transport services,shipping
520155,starlog enterprises limited,starlog,starlog enterprises ltd,Active,X,10,ine580c01019,services,services,transport infrastructure,port & port services
521003,shiva suitings ltd.,shvsuit,shiva suitings ltd.,Active,P,10,ine02z901011,services,services,commercial services & supplies,trading & distributors
521005,titan intech limited,titanin,titan intech ltd,Active,X,10,ine807m01023,textiles,consumer discretionary,textiles & apparels,other textile products
521014,eurotex industries & exports ltd.,eurotexind,eurotex industries & exports ltd.,Active,T,10,ine022c01012,textiles,consumer discretionary,textiles & apparels,other textile products
521016,indo count industries ltd,icil,indo count industries ltd.,Active,A,2,ine483b01026,textiles,consumer discretionary,textiles & apparels,other textile products
521018,maral overseas ltd.,maralover,maral overseas ltd.,Active,B,10,ine882a01013,textiles,consumer discretionary,textiles & apparels,other textile products
521034,soma textile & industries ltd,somatex,soma textiles & industries ltd.,Active,B,10,ine314c01013,textiles,consumer discretionary,textiles & apparels,other textile products
521048,advance lifestyles ltd.,advlife,advance lifestyles ltd.,Active,XT,10,ine900e01015,textiles,consumer discretionary,textiles & apparels,other textile products
521054,kakatiya textiles ltd.,kaktex,kakatiya textiles ltd.,Active,XT,10,ine092e01011,textiles,consumer discretionary,textiles & apparels,other textile products
521062,perfect-octave media projects ltd,octave,perfect-octave media projects ltd,Active,XT,10,ine814l01013,"media, entertainment & publication",consumer discretionary,entertainment,tv broadcasting & software production
521064,trident ltd,trident,trident ltd.,Active,A,1,ine064c01022,textiles,consumer discretionary,textiles & apparels,other textile products
521068,hisar spinning mills ltd,hisarsp,hisar spinning mills ltd.,Active,P,10,ine689e01014,textiles,consumer discretionary,textiles & apparels,other textile products
521070,alok industries ltd.,aloktext,alok industries ltd.,Active,T,1,ine270a01029,textiles,consumer discretionary,textiles & apparels,other textile products
521080,pasari spinning mills ltd.,pasari,pasari spinning mills ltd.,Active,XT,10,ine604f01010,textiles,consumer discretionary,textiles & apparels,other textile products
521082,spentex industries ltd.,spentex,spentex industries ltd.,Active,Z,10,ine376c01020,textiles,consumer discretionary,textiles & apparels,other textile products
521097,amarjothi spinning mills ltd,amarjothi,amarjothi spinning mills ltd.,Active,X,10,ine484d01012,textiles,consumer discretionary,textiles & apparels,other textile products
521105,olympia industries ltd.,olymptx,olympia industries ltd.,Active,X,10,ine482o01021,consumer services,consumer discretionary,retailing,internet & catalogue retail
521109,nagreeka exports ltd.,nagreekexp,nagreeka exports ltd.,Active,B,5,ine123b01028,textiles,consumer discretionary,textiles & apparels,other textile products
521113,suditi industries ltd.,sudtind-b,suditi industries ltd.,Active,X,10,ine691d01012,textiles,consumer discretionary,textiles & apparels,other textile products
521131,shree bhavya fabrics limited,sbfl,shree bhavya fabrics ltd,Active,X,10,ine363d01018,textiles,consumer discretionary,textiles & apparels,other textile products
521133,gem spinners india ltd,gemspin,gem spinners india ltd.,Active,P,5,ine165f01020,textiles,consumer discretionary,textiles & apparels,other textile products
521137,eureka industries ltd.,eurekai,eureka industries ltd.,Active,P,10,ine958a01011,textiles,consumer discretionary,textiles & apparels,other textile products
521141,aditya spinners ltd.,adityasp,aditya spinners ltd.,Active,XT,10,ine122d01026,textiles,consumer discretionary,textiles & apparels,other textile products
521149,prime urban development india ltd,primeurb,prime urban development india ltd.,Active,X,2,ine419e01024,realty,consumer discretionary,realty,residential commercial projects
521151,dhanlaxmi fabrics ltd.,dhanfab,dhanlaxmi fabrics ltd.,Active,X,10,ine953d01016,textiles,consumer discretionary,textiles & apparels,other textile products
521161,sri lakshmi saraswathi textiles (ar,slstlq,sri lakshmi saraswathi textiles (arni) ltd.,Active,X,10,ine456d01010,textiles,consumer discretionary,textiles & apparels,other textile products
521163,zodiac clothing co. ltd.,zodiacloth,zodiac clothing co.ltd.,Active,B,10,ine206b01013,textiles,consumer discretionary,textiles & apparels,garments & apparels
521178,sri ramakrishna mills (coimbatore) ltd.,srmcl,sri ramakrishna mills (coimbatore) ltd.,Active,X,10,ine306d01017,textiles,consumer discretionary,textiles & apparels,other textile products
